repo	sha	verdict	reason	kind	path	line	evidence
anietieakpan/kazuq	b370a6359e1a0849b00203b0c43fcced3c30e016	NOT_REAL	getMailhogEmails is defined and never called anywhere in the repository. services/notification-service/test/utils/test-utils.ts:179	mail-catcher	services/notification-service/test/utils/test-utils.ts	179	static async getMailhogEmails(): Promise<any[]> {
drifter089/orgOS	a9073690f340168f3b3b65e7ad57ba2390d4a047	NOT_REAL	the Mailinator mention is inside the giving-up comment of a test.skip - a case of NOT doing it. tests/auth-unauthenticated.spec.ts:126	test-inbox-sdk	tests/auth-unauthenticated.spec.ts	126	// 3. Integrate with an email testing service (e.g., Mailinator, Mailtrap)
embreymorton/CS-Grad-Tracker	dbceff2e5c24732fc17220b992e1405fccebe301	NOT_REAL	reads real mail via ethereal.email but not in an identity flow. cypress/e2e/formTests/Nodemailer.cy.js:14	mail-catcher	cypress/e2e/formTests/Nodemailer.cy.js	14	cy.visit('https://ethereal.email/login')
liorwn/workscanner	aa98d1d1154b684a6abb9bec7b624f4977ad7d97	NOT_REAL	ImapFlow is a product feature (mailbox ingestion), not authentication. tests/level5-scan/icloud-ingest.test.ts:2	imap	tests/level5-scan/icloud-ingest.test.ts	2	import { ImapFlow } from "imapflow";
sebkopsi/Programsko-inzenjerstvo	813ff441fc234f91e6366781816454dbfb8dfefc	NOT_REAL	false positive - test@testmail.com is a hardcoded login address, not the testmail.app service. frontend/cypress/e2e/auth/not_implemented_yet.cy.js:9	test-inbox-sdk	frontend/cypress/e2e/auth/login.cy.js	35	cy.get('input[name="email"]').type("test@testmail.com")
sebkopsi/Programsko-inzenjerstvo	813ff441fc234f91e6366781816454dbfb8dfefc	NOT_REAL	false positive - test@testmail.com is a hardcoded login address, not the testmail.app service. frontend/cypress/e2e/auth/not_implemented_yet.cy.js:9	test-inbox-sdk	frontend/cypress/e2e/auth/not_implemented_yet.cy.js	9	cy.get('input[name="email"]').as("input-user").type("test@testmail.com")
stytchauth/stytch-browser	4bceacb5c73bb4b6c75ed90eba9471b505490089	REAL	real magic link through a real Mailosaur inbox, then the SDK authenticate button - the only one. services/e2e-tests/cypress/e2e/react-demo.cy.ts:62,68,81,83	test-inbox-sdk	services/e2e-tests/cypress/support/commands.ts	26	import 'cypress-mailosaur';
stytchauth/stytch-browser	4bceacb5c73bb4b6c75ed90eba9471b505490089	REAL	real magic link through a real Mailosaur inbox, then the SDK authenticate button - the only one. services/e2e-tests/cypress/e2e/react-demo.cy.ts:62,68,81,83	test-inbox-sdk	services/e2e-tests/cypress/e2e/react-demo.cy.ts	14	MAILOSAUR_SERVER_ID,
stytchauth/stytch-browser	4bceacb5c73bb4b6c75ed90eba9471b505490089	REAL	real magic link through a real Mailosaur inbox, then the SDK authenticate button - the only one. services/e2e-tests/cypress/e2e/react-demo.cy.ts:62,68,81,83	test-inbox-sdk	services/e2e-tests/cypress/e2e/react-ui.cy.ts	3	import { Link } from 'cypress-mailosaur';
stytchauth/stytch-browser	4bceacb5c73bb4b6c75ed90eba9471b505490089	REAL	real magic link through a real Mailosaur inbox, then the SDK authenticate button - the only one. services/e2e-tests/cypress/e2e/react-demo.cy.ts:62,68,81,83	test-inbox-sdk	services/e2e-tests/cypress/e2e/react-b2b-ui.cy.ts	4	import type { Message } from 'cypress-mailosaur';
